table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default,character_maximum_length,numeric_precision,numeric_scale
services,11,sort_order,integer,int4,NO,0,null,32,0
services,12,created_at,timestamp with time zone,timestamptz,YES,now(),null,null,null
services,13,updated_at,timestamp with time zone,timestamptz,YES,now(),null,null,null
turkish_cities,1,id,integer,int4,NO,nextval('turkish_cities_id_seq'::regclass),null,32,0
turkish_cities,2,plate_no,integer,int4,NO,null,null,32,0
turkish_cities,3,name,text,text,NO,null,null,null,null
waitlist,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
waitlist,2,email,text,text,NO,null,null,null,null
waitlist,3,created_at,timestamp with time zone,timestamptz,NO,now(),null,null,null
waitlist,4,source,text,text,YES,'landing'::text,null,null,null
waitlist,5,ip_address,text,text,YES,null,null,null,null
waitlist,6,user_agent,text,text,YES,null,null,null,null
